index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
20,20.0,20.25,20.5,21.0,20.5,20.5,20.75,20.25,19.5,20.5,20.25,20.5,20.5,20.5,20.75,20.75,20.0,20.25,20.75,21.0,21.0,21.25,20.75,20.0,20.0,20.5,20.75,20.75,21.0,21.0,20.5,21.0,20.5,20.25,21.0,21.25,21.25,21.25,21.5,21.0,20.25,21.25,21.25,20.75,21.25,21.25,21.0,21.0,20.75,21.0,21.0,21.25,21.25,20.75,21.5,21.0,21.0,21.0,21.5,21.5,21.25,21.75,20.75,20.75,26.69,2020-10-23 05:17:59.349,-1.7007983449280228,0.227270666150625
21,19.5,20.25,20.5,20.75,20.25,20.75,21.25,20.5,20.0,20.25,20.5,20.75,21.25,21.0,21.25,21.0,20.25,20.5,21.0,21.0,21.0,21.0,20.75,21.0,20.75,20.75,21.0,21.0,21.0,21.0,20.75,21.25,20.25,20.25,21.25,21.0,21.0,21.25,21.0,21.5,20.75,20.5,21.25,21.25,21.5,21.25,21.25,21.25,20.5,21.25,21.75,21.5,21.75,21.5,21.25,21.25,21.5,21.25,21.25,22.0,21.5,21.5,21.75,21.25,26.69,2020-10-23 05:17:59.450,-1.6977354051075857,0.23342975533419683
22,19.75,20.0,21.25,20.75,20.75,21.25,21.0,21.0,20.0,20.25,21.0,20.5,21.0,20.5,21.0,20.75,19.75,20.5,21.25,21.0,20.75,21.0,20.75,20.5,20.5,20.25,21.0,20.75,21.25,21.0,20.5,21.75,20.25,21.0,21.0,21.0,21.0,21.25,21.0,20.75,20.25,20.75,21.25,20.75,21.25,21.25,21.5,21.0,20.25,21.0,22.0,21.5,21.5,21.75,22.0,22.0,21.25,21.25,21.75,22.0,21.75,22.0,22.0,21.5,26.69,2020-10-23 05:17:59.551,-1.7006264040193986,0.238236108364757
23,20.25,20.5,20.5,20.75,20.25,20.75,21.0,21.25,19.5,20.25,20.5,20.75,20.75,21.25,21.0,20.75,19.75,20.25,20.75,20.75,20.75,21.5,20.5,21.25,20.5,21.0,21.0,20.75,21.25,21.25,21.0,21.5,20.25,20.5,21.25,20.75,20.75,21.75,21.5,20.75,20.75,20.75,21.0,21.25,21.5,21.25,21.0,21.25,20.25,21.5,21.5,21.5,21.75,21.25,21.75,21.5,21.25,21.0,21.75,21.75,21.75,21.75,21.0,21.75,26.69,2020-10-23 05:17:59.652,-1.7079633732698505,0.24548083927637993
24,19.5,20.25,20.75,21.0,20.5,20.5,20.75,20.75,19.5,20.75,21.0,20.5,21.0,21.0,20.75,20.75,20.0,20.0,20.75,20.75,21.0,21.25,21.25,21.0,21.25,20.5,20.5,20.75,21.5,21.25,20.75,21.25,20.25,20.5,21.25,21.25,20.75,21.0,21.25,21.25,20.75,20.75,21.5,21.25,21.5,21.5,21.25,21.5,20.5,20.75,21.25,21.5,22.0,21.75,21.75,21.25,21.0,21.5,21.75,21.5,21.5,22.0,21.25,21.25,26.69,2020-10-23 05:17:59.754,-1.7170577052770502,0.25319831981499985
25,20.0,20.25,20.25,20.25,20.25,20.75,20.5,20.0,19.25,20.25,20.5,21.0,20.5,20.5,21.0,20.25,20.5,20.25,21.0,21.0,20.75,21.0,21.25,20.0,20.25,20.75,20.75,20.5,21.0,21.0,20.25,21.25,20.0,20.25,20.75,20.75,20.5,21.25,21.0,20.5,20.5,20.75,21.0,21.25,21.0,21.0,21.75,21.25,20.75,20.5,21.25,21.25,21.5,21.75,21.75,21.25,21.25,20.75,21.25,21.25,21.5,21.5,21.25,20.5,26.69,2020-10-23 05:17:59.855,-1.7261276740188642,0.26173791954042286
26,20.25,20.0,20.75,21.0,20.75,20.5,20.5,20.75,20.0,20.0,20.75,20.75,20.75,20.75,20.75,21.5,19.75,20.5,21.0,21.25,21.0,21.25,20.5,20.25,20.75,20.5,21.0,21.0,21.5,21.0,20.75,21.25,20.5,20.5,21.25,21.0,21.25,21.25,21.25,20.75,20.75,20.5,21.25,20.75,21.5,21.25,21.25,22.0,20.75,20.75,21.25,21.5,21.75,21.75,21.75,21.5,21.25,21.25,22.0,21.25,21.75,21.25,21.5,21.25,26.69,2020-10-23 05:17:59.955,-1.7331499322621629,0.2712364975731617
27,19.75,20.0,20.75,20.5,20.5,20.5,21.0,20.5,19.5,20.0,20.5,20.5,20.75,20.75,21.0,20.75,20.5,20.25,21.0,20.75,20.5,21.25,21.0,20.5,20.25,20.75,20.5,21.25,21.0,20.5,20.5,21.25,20.75,20.5,21.0,21.25,21.0,21.5,21.5,20.75,21.0,20.75,21.25,21.5,21.25,21.25,21.25,21.0,20.5,21.0,21.5,21.25,22.0,21.5,21.75,21.25,21.0,21.0,21.25,21.0,21.5,21.25,21.5,21.5,26.69,2020-10-23 05:18:00.057,-1.738056098951329,0.2808003171143855
28,19.75,20.5,20.5,21.0,20.25,20.5,21.0,21.25,20.0,20.5,20.5,21.0,21.0,21.25,21.0,21.0,20.5,20.25,21.0,21.25,21.0,21.0,21.0,20.5,20.75,20.5,20.5,20.75,21.5,21.0,20.75,20.75,20.25,20.5,21.25,21.25,20.75,21.5,21.25,21.5,21.0,21.25,21.0,21.25,21.25,21.0,21.5,21.5,20.75,21.5,21.25,21.25,21.5,21.5,21.5,21.5,21.75,21.5,21.25,21.5,21.5,22.0,21.25,21.25,26.69,2020-10-23 05:18:00.158,-1.7414999780028955,0.2863014208688367
29,19.75,20.25,20.75,20.5,20.75,21.0,20.75,20.75,20.25,20.25,20.25,20.75,20.5,20.75,20.75,20.75,20.0,20.0,21.5,21.0,20.5,21.25,20.75,20.25,20.5,20.75,20.75,21.25,21.25,21.25,20.5,20.75,20.5,20.5,21.25,21.25,21.5,21.5,21.25,21.25,20.75,21.25,21.0,21.5,21.5,20.75,21.0,21.5,20.75,21.0,21.5,22.25,21.75,21.75,21.75,21.5,21.0,21.25,22.25,22.0,21.25,22.5,21.0,22.0,26.69,2020-10-23 05:18:00.258,-1.7409495025839363,0.286696868297402
